Invoice Number,1089100092,,,,,,,,,,
Account Number,0494330000,,,,,,,,,,
Bill To,"MEGA CITY ONE 
7301 MELROSE AVE 
LOS ANGELES, CA 90046-7512",,,,,,,,,,
Ship To,"MEGA CITY ONE 
7301 MELROSE AVE 
LOS ANGELES, CA 90046-7512",,,,,,,,,,
Sales Order Number,0015244799,0015373497,0015497865,0014635087,0015613168,,,,,,
Purchase Order Number,11320251615,12020251454,1272025179,12920241244,2320251341,,,,,,
Invoice Create Date,2025-02-14,,,,,,,,,,
Promotion Code,,,,,,,,,,,
Transportation Chgs,$0.00,,,,,,,,,,
Handling Chgs,$0.00,,,,,,,,,,
Taxes,$0.00,,,,,,,,,,
Total Due,"$2,197.52",,,,,,,,,,
,,,,,,,,,,,
Line,Description,ISBN,ISBN10,UPC/SKU,CC,Price,Discount %,Net Value,Qty,Net Amount,Purchase Order Number
1008,AMAZING SPIDER-MAN #68.DEATHS FEDERICO VICENTINI VARIANT,75960621190606821,,,US,$3.99,50,$1.99,8,$15.96,1272025179
1009,CAPTAIN AMERICA & VOLSTAGG #1,75960621200200111,,,US,$4.99,50,$2.49,34,$84.83,1272025179
1010,CAPTAIN AMERICA & VOLSTAGG #1 BERNARD CHANG VARIANT,75960621200200121,,,US,$4.99,50,$2.49,8,$19.96,1272025179
1011,CAPTAIN AMERICA & VOLSTAGG #1 LEINIL YU VARIANT [1:25],75960621200200117,,,US,$4.99,50,$2.49,2,$4.99,1272025179
1012,CAPTAIN AMERICA & VOLSTAGG #1 MARK BROOKS ANIMATED-STYLE VARIANT,75960621200200131,,,US,$4.99,50,$2.49,8,$19.96,1272025179
1013,CAPTAIN AMERICA & VOLSTAGG #1 MARK BROOKS ANIMATED-STYLE VIRGIN VARIANT [1:50],75960621200200116,,,US,$4.99,50,$2.49,1,$2.49,1272025179
1014,FANTASTIC FOUR #29 E.M. GIST VARIANT [DOOM],75960620289802931,,,CA,$3.99,50,$1.99,6,$11.97,1272025179
1015,FANTASTIC FOUR #29 GREG LAND VARIANT [DOOM] [1:25],75960620289802917,,,CA,$3.99,50,$1.99,2,$3.99,1272025179
1016,FANTASTIC FOUR #29 PAOLO MOTTURA DISNEY WHAT IF? FANTASTIC FOUR HOMAGE VARIANT [ DOOM],75960620289802921,,,CA,$3.99,50,$1.99,15,$29.92,1272025179
1017,FANTASTIC FOUR #29 [DOOM],75960620289802911,,,CA,$3.99,50,$1.99,29,$57.85,1272025179
1018,HELLHUNTERS #3,75960621010700311,,,CA,$3.99,50,$1.99,30,$59.85,1272025179
1019,HELLHUNTERS #3 ROD REIS VARIANT,75960621010700321,,,CA,$3.99,50,$1.99,5,$9.97,1272025179
1020,HELLVERINE #3,75960621157900311,,,CA,$3.99,50,$1.99,25,$49.87,1272025179
1021,HELLVERINE #3 DAVE WACHTER VARIANT,75960621157900321,,,CA,$3.99,50,$1.99,5,$9.97,1272025179
1022,HELLVERINE #3 DAVID MACK VARIANT [1:25],75960621157900316,,,CA,$3.99,50,$1.99,1,$1.99,1272025179
1023,ROGUE: THE SAVAGE LAND #1 ADAM HUGHES 2ND PRINTING VARIANT,75960621155500112,,,US,$4.99,50,$2.49,5,$12.47,1272025179
1024,ROGUE: THE SAVAGE LAND #2,75960621155500211,,,US,$3.99,50,$1.99,55,$109.72,1272025179
1025,ROGUE: THE SAVAGE LAND #2 AMANDA CONNER VARIANT,75960621155500231,,,US,$3.99,50,$1.99,15,$29.92,1272025179
1026,ROGUE: THE SAVAGE LAND #2 J. SCOTT CAMPBELL VARIANT,75960621155500221,,,US,$3.99,50,$1.99,30,$59.85,1272025179
1027,ROGUE: THE SAVAGE LAND #2 J. SCOTT CAMPBELL VIRGIN VARIANT [1:100],75960621155500216,,,US,$3.99,50,$1.99,1,$1.99,1272025179
1028,ROGUE: THE SAVAGE LAND #2 STEPHEN PLATT VARIANT [1:25],75960621155500217,,,US,$3.99,50,$1.99,4,$7.98,1272025179
1029,SABRETOOTH: THE DEAD DON'T TALK #3,75960621057200311,,,CA,$3.99,50,$1.99,12,$23.94,1272025179
1030,SABRETOOTH: THE DEAD DON'T TALK #3 MARK BROOKS ANIMATED-STYLE VARIANT,75960621057200321,,,CA,$3.99,50,$1.99,3,$5.98,1272025179
1031,SABRETOOTH: THE DEAD DON'T TALK #3 PACO DIAZ VARIANT,75960621057200331,,,CA,$3.99,50,$1.99,3,$5.98,1272025179
1032,SENTINELS #5,75960620962000511,,,CA,$3.99,50,$1.99,15,$29.92,1272025179
1033,MARVEL PREVIEWS #42 [BUNDLE OF 10],75960620271304211,,,US,$0.00,0,$0.00,5,$0.00,1272025179
960,ULTRAMAN X THE AVENGERS #4,75960620462500411,,,CA,$4.99,50,$2.49,20,$49.90,12920241244
1034,Night Club II #6 (CVR A) (Juanan Ramírez),76156801219400611,,,CA,$4.99,50,$2.49,12,$29.94,2320251341
1035,Night Club II #6 (CVR B) (B&W) (Juanan Ramírez),76156801219400621,,,CA,$4.99,50,$2.49,2,$4.99,2320251341
